Grupo,País,ID de la estampa,Tipo de casilla,Entradas,Vendidas,Stock actual,Precio MXN,Valor total,Notas,
General,FIFA,FWC 1,Especial Base,3,0,3,50,$150.00,,
General,FIFA,FWC 2,Especial Base,5,1,4,50,$200.00,,
General,FIFA,FWC 3,Especial Base,3,0,3,50,$150.00,,
General,FIFA,FWC 4,Especial Base,3,1,2,50,$100.00,,
General,FIFA,FWC 5,Especial Base,3,0,3,50,$150.00,,
General,FIFA,FWC 6,Especial Base,1,0,1,50,$50.00,,
General,FIFA,FWC 7,Especial Base,3,0,3,50,$150.00,,
General,FIFA,FWC 8,Especial Base,6,0,6,50,$300.00,,
General,FIFA,FWC 9,Especial Base,4,1,3,50,$150.00,,
General,FIFA,FWC 10,Especial Base,4,0,4,50,$200.00,,
General,FIFA,FWC 11,Especial Base,1,0,1,50,$50.00,,
General,FIFA,FWC 12,Especial Base,2,0,2,50,$100.00,,
General,FIFA,FWC 13,Especial Base,4,0,4,50,$200.00,,
General,FIFA,FWC 14,Especial Base,4,0,4,50,$200.00,,
General,FIFA,FWC 15,Especial Base,4,0,4,50,$200.00,,
General,FIFA,FWC 16,Especial Base,2,0,2,50,$100.00,,
General,FIFA,FWC 17,Especial Base,5,0,5,50,$250.00,,
General,FIFA,FWC 18,Especial Base,5,0,5,50,$250.00,,
General,FIFA,FWC 19,Especial Base,6,0,6,50,$300.00,,
General,FIFA,0,Especial Base,5,1,4,50,$200.00,,
Grupo A,México,MEX 1,Escudo,5,0,5,50,$250.00,,
Grupo A,México,MEX 2,Jugador,6,1,5,15,$75.00,,
Grupo A,México,MEX 3,Jugador,2,0,2,15,$30.00,,
Grupo A,México,MEX 4,Jugador,3,0,3,15,$45.00,,
Grupo A,México,MEX 5,Jugador,6,0,6,15,$90.00,,
Grupo A,México,MEX 6,Jugador,6,0,6,15,$90.00,,
Grupo A,México,MEX 7,Jugador,5,0,5,15,$75.00,,
Grupo A,México,MEX 8,Jugador,5,0,5,15,$75.00,,
Grupo A,México,MEX 9,Jugador,7,0,7,15,$105.00,,
Grupo A,México,MEX 10,Jugador,2,0,2,15,$30.00,,
Grupo A,México,MEX 11,Jugador,4,0,4,15,$60.00,,
Grupo A,México,MEX 12,Jugador,6,0,6,15,$90.00,,
Grupo A,México,MEX 13,Foto del equipo,3,0,3,15,$45.00,,
Grupo A,México,MEX 14,Jugador,3,0,3,15,$45.00,,
Grupo A,México,MEX 15,Jugador,6,0,6,15,$90.00,,
Grupo A,México,MEX 16,Jugador,7,0,7,15,$105.00,,
Grupo A,México,MEX 17,Jugador,6,1,5,15,$75.00,,
Grupo A,México,MEX 18,Jugador,4,0,4,15,$60.00,,
Grupo A,México,MEX 19,Jugador,4,0,4,15,$60.00,,
Grupo A,México,MEX 20,Jugador,6,0,6,15,$90.00,,
Grupo D,Estados Unidos,USA 1,Escudo,3,0,3,50,$150.00,,
Grupo D,Estados Unidos,USA 2,Jugador,6,1,5,15,$75.00,,
Grupo D,Estados Unidos,USA 3,Jugador,6,1,5,15,$75.00,,
Grupo D,Estados Unidos,USA 4,Jugador,5,1,4,15,$60.00,,
Grupo D,Estados Unidos,USA 5,Jugador,6,1,5,15,$75.00,,
Grupo D,Estados Unidos,USA 6,Jugador,5,1,4,15,$60.00,,
Grupo D,Estados Unidos,USA 7,Jugador,5,0,5,15,$75.00,,
Grupo D,Estados Unidos,USA 8,Jugador,8,0,8,15,$120.00,,
Grupo D,Estados Unidos,USA 9,Jugador,3,0,3,15,$45.00,,
Grupo D,Estados Unidos,USA 10,Jugador,2,1,1,15,$15.00,,
Grupo D,Estados Unidos,USA 11,Jugador,2,1,1,15,$15.00,,
Grupo D,Estados Unidos,USA 12,Jugador,5,1,4,15,$60.00,,
Grupo D,Estados Unidos,USA 13,Foto del equipo,5,1,4,15,$60.00,,
Grupo D,Estados Unidos,USA 14,Jugador,5,1,4,15,$60.00,,
Grupo D,Estados Unidos,USA 15,Jugador,6,0,6,15,$90.00,,
Grupo D,Estados Unidos,USA 16,Jugador,4,0,4,15,$60.00,,
Grupo D,Estados Unidos,USA 17,Jugador,6,1,5,15,$75.00,,
Grupo D,Estados Unidos,USA 18,Jugador,4,1,3,15,$45.00,,
Grupo D,Estados Unidos,USA 19,Jugador,3,0,3,15,$45.00,,
Grupo D,Estados Unidos,USA 20,Jugador,5,1,4,15,$60.00,,
Grupo B,Canadá,CAN 1,Escudo,5,0,5,50,$250.00,,
Grupo B,Canadá,CAN 2,Jugador,5,0,5,15,$75.00,,
Grupo B,Canadá,CAN 3,Jugador,6,0,6,15,$90.00,,
Grupo B,Canadá,CAN 4,Jugador,3,0,3,15,$45.00,,
Grupo B,Canadá,CAN 5,Jugador,5,1,4,15,$60.00,,
Grupo B,Canadá,CAN 6,Jugador,4,0,4,15,$60.00,,
Grupo B,Canadá,CAN 7,Jugador,6,0,6,15,$90.00,,
Grupo B,Canadá,CAN 8,Jugador,4,0,4,15,$60.00,,
Grupo B,Canadá,CAN 9,Jugador,3,0,3,15,$45.00,,
Grupo B,Canadá,CAN 10,Jugador,6,0,6,15,$90.00,,
Grupo B,Canadá,CAN 11,Jugador,4,0,4,15,$60.00,,
Grupo B,Canadá,CAN 12,Jugador,5,0,5,15,$75.00,,
Grupo B,Canadá,CAN 13,Foto del equipo,2,1,1,15,$15.00,,
Grupo B,Canadá,CAN 14,Jugador,7,0,7,15,$105.00,,
Grupo B,Canadá,CAN 15,Jugador,4,0,4,15,$60.00,,
Grupo B,Canadá,CAN 16,Jugador,3,0,3,15,$45.00,,
Grupo B,Canadá,CAN 17,Jugador,5,0,5,15,$75.00,,
Grupo B,Canadá,CAN 18,Jugador,5,0,5,15,$75.00,,
Grupo B,Canadá,CAN 19,Jugador,5,0,5,15,$75.00,,
Grupo B,Canadá,CAN 20,Jugador,2,0,2,15,$30.00,,
Grupo L,Ghana,GHA 1,Escudo,5,0,5,50,$250.00,,
Grupo L,Ghana,GHA 2,Jugador,4,0,4,15,$60.00,,
Grupo L,Ghana,GHA 3,Jugador,3,0,3,15,$45.00,,
Grupo L,Ghana,GHA 4,Jugador,5,0,5,15,$75.00,,
Grupo L,Ghana,GHA 5,Jugador,6,0,6,15,$90.00,,
Grupo L,Ghana,GHA 6,Jugador,2,0,2,15,$30.00,,
Grupo L,Ghana,GHA 7,Jugador,5,0,5,15,$75.00,,
Grupo L,Ghana,GHA 8,Jugador,5,0,5,15,$75.00,,
Grupo L,Ghana,GHA 9,Jugador,6,1,5,15,$75.00,,
Grupo L,Ghana,GHA 10,Jugador,2,0,2,15,$30.00,,
Grupo L,Ghana,GHA 11,Jugador,4,0,4,15,$60.00,,
Grupo L,Ghana,GHA 12,Jugador,5,0,5,15,$75.00,,
Grupo L,Ghana,GHA 13,Foto del equipo,6,0,6,15,$90.00,,
Grupo L,Ghana,GHA 14,Jugador,5,0,5,15,$75.00,,
Grupo L,Ghana,GHA 15,Jugador,6,0,6,15,$90.00,,
Grupo L,Ghana,GHA 16,Jugador,3,0,3,15,$45.00,,
Grupo L,Ghana,GHA 17,Jugador,4,0,4,15,$60.00,,
Grupo L,Ghana,GHA 18,Jugador,3,0,3,15,$45.00,,
